time,PM10,PM2.5,CO,NO2,O3
2025-08-31 00:00:00,30.7,29.5,860.0,27.3,35.0
2025-08-31 01:00:00,39.1,37.6,911.0,29.3,30.0
2025-08-31 02:00:00,49.1,47.5,1077.0,31.7,24.0
2025-08-31 03:00:00,55.3,53.4,1303.0,34.4,17.0
2025-08-31 04:00:00,58.9,56.8,1507.0,36.9,16.0
2025-08-31 05:00:00,64.5,62.2,1723.0,40.1,22.0
2025-08-31 06:00:00,75.9,73.3,1917.0,43.2,33.0
2025-08-31 07:00:00,61.7,59.0,1902.0,40.2,47.0
2025-08-31 08:00:00,36.2,32.5,1494.0,32.0,69.0
2025-08-31 09:00:00,25.4,22.4,878.0,20.6,99.0
2025-08-31 10:00:00,20.0,17.9,420.0,11.7,122.0
2025-08-31 11:00:00,16.7,15.8,289.0,7.4,132.0
2025-08-31 12:00:00,16.4,15.5,316.0,5.5,134.0
2025-08-31 13:00:00,16.0,15.2,364.0,4.9,132.0
2025-08-31 14:00:00,15.7,14.9,393.0,4.7,126.0
2025-08-31 15:00:00,15.8,15.1,443.0,5.8,115.0
2025-08-31 16:00:00,16.8,16.0,500.0,9.2,102.0
2025-08-31 17:00:00,19.4,18.7,560.0,16.6,85.0
2025-08-31 18:00:00,25.4,24.9,627.0,26.2,66.0
2025-08-31 19:00:00,23.2,22.8,696.0,23.2,63.0
2025-08-31 20:00:00,23.7,23.1,781.0,23.3,61.0
2025-08-31 21:00:00,25.2,24.6,868.0,23.4,58.0
2025-08-31 22:00:00,27.8,27.1,918.0,23.4,55.0
2025-08-31 23:00:00,30.0,29.4,879.0,23.0,53.0
2025-09-01 00:00:00,31.5,30.9,803.0,22.3,52.0
2025-09-01 01:00:00,32.2,31.3,801.0,22.1,50.0
2025-09-01 02:00:00,34.2,32.7,936.0,22.1,45.0
2025-09-01 03:00:00,36.9,35.0,1147.0,22.4,40.0
2025-09-01 04:00:00,41.3,39.3,1356.0,24.1,38.0
2025-09-01 05:00:00,48.9,46.7,1617.0,29.5,39.0
